AOI,Erosion_m3,Deposition_m3,Net_m3
1,-33863.8671875,36012.158203125,2148.291015625
3,-32079.833984375,10912.060546875,-21167.7734375
4,-49227.880859375,30088.18359375,-19139.697265625
6,-73652.099609375,39716.2109375,-33935.888671875
7,-40532.04345703125,13527.99072265625,-27004.052734375
8,-197004.00390625,218530.46875,21526.46484375
10,-47932.0556640625,102419.7509765625,54487.6953125
11,-25247.94921875,20359.9853515625,-4887.9638671875
12,-17516.021728515625,10996.014404296875,-6520.00732421875
13,-70936.00463867188,55063.995361328125,-15872.00927734375
14,-63808.0322265625,32255.9814453125,-31552.05078125
15,-422207.8125,241584.27734375,-180623.53515625
16,-264395.9228515625,85492.00439453125,-178903.91845703125
18,-45599.755859375,17723.6328125,-27876.123046875
23,-355927.9296875,174876.0498046875,-181051.8798828125
24,-347428.0029296875,340275.87890625,-7152.1240234375
25,-27795.947265625,32451.85546875,4655.908203125
27,-34768.017578125,25079.98046875,-9688.037109375
28,-96124.06005859375,61999.98779296875,-34124.072265625
29,-48299.98779296875,34224.01123046875,-14075.9765625
30,-91216.11328125,86743.9697265625,-4472.1435546875
35,-131175.927734375,78579.931640625,-52595.99609375
36,-87152.0263671875,30156.0302734375,-56995.99609375
38,-69228.076171875,38524.21875,-30703.857421875
40,-67815.9423828125,53524.0234375,-14291.9189453125
41,-43204.00390625,28064.0380859375,-15139.9658203125
42,-43576.0498046875,25396.0693359375,-18179.98046875
44,-19100.048828125,15248.0224609375,-3852.0263671875
48,-324164.404296875,135320.41015625,-188843.994140625
53,-701200.0,359675.732421875,-341524.267578125
54,-96595.9228515625,114063.8916015625,17467.96875
56,-452907.763671875,140239.84375,-312667.919921875
57,-163607.861328125,119256.0546875,-44351.806640625
58,-235336.083984375,123292.1630859375,-112043.9208984375
60,-43340.0146484375,20255.8837890625,-23084.130859375
62,-127640.087890625,120048.046875,-7592.041015625
65,-78563.95263671875,102768.15185546875,24204.19921875
66,-249251.953125,190120.0927734375,-59131.8603515625
68,-20823.9990234375,9324.0234375,-11499.9755859375
69,-55739.97802734375,43847.98583984375,-11891.9921875
70,-85163.96484375,26071.8994140625,-59092.0654296875
71,-30963.9404296875,30403.9794921875,-559.9609375
73,-24768.0908203125,15655.8837890625,-9112.20703125
74,-26603.9794921875,22443.98193359375,-4159.99755859375
75,-45788.0126953125,61419.903564453125,15631.890869140625
78,-227161.474609375,365346.38671875,138184.912109375
79,-58020.0927734375,66316.015625,8295.9228515625
80,-169959.99755859375,66911.99951171875,-103047.998046875
81,-164059.9853515625,93883.97827148438,-70176.00708007812
83,-73443.896484375,83739.990234375,10296.09375
85,-143376.03759765625,219631.93359375,76255.89599609375
86,-82124.0478515625,115936.1083984375,33812.060546875
87,-85600.0,166432.0556640625,80832.0556640625
89,-1483383.984375,515236.23046875,-968147.75390625
90,-138572.00927734375,138699.93896484375,127.9296875
91,-335151.9287109375,307035.986328125,-28115.9423828125
92,-72075.98876953125,32216.0400390625,-39859.94873046875
95,-80596.0205078125,31647.94921875,-48948.0712890625
96,-93224.072265625,43495.8984375,-49728.173828125
97,-187188.00048828125,72764.306640625,-114423.69384765625
