Fold,AOI,R2_Erosion,Err_Erosion_%,R2_Deposition,Err_Deposition_%
1,104,-34.639456115900494,-88.86019587516785,-19.652093373941756,-56.21535778045654
1,130,-2.076472422094798,-104.37479019165039,-1.0193379166333991,-95.49190402030945
1,136,-5.245744245910648,-47.47929573059082,-4.057486803199784,-72.02029228210449
1,150,-0.23750696734094134,-84.12546515464783,-1.7384824355457673,-84.32912826538086
1,157,-0.8378185890618541,-59.585535526275635,-1.032231412411341,-83.32228064537048
1,195,-1.521836673393992,-69.81170773506165,-0.176830582221295,-65.76272249221802
1,40,-0.3505751944624791,-63.26557397842407,-10.684956463417393,-58.662426471710205
1,78,-1.2965562801387662,-64.37515616416931,-1.5315042950992366,-84.60275530815125
1,80,-2.094934259180908,-91.31103754043579,-3.459263136917044,-85.29043793678284
1,85,-0.1969736873084882,-52.0091712474823,-1.2750350392648966,-72.8581190109253
1,8,-1.1912139197983769,-82.38794207572937,-1.948342868353699,-80.88135123252869
1,98,-0.8265652076992034,-78.97340655326843,-6.9488617373064665,-97.98007011413574
2,131,-2.2112259215436736,-74.33266639709473,-13.285513545648513,-88.00813555717468
2,13,-0.8647818927151949,-39.066386222839355,-0.1376810595406257,-51.09109282493591
2,144,-1.2820569286360257,-38.96734416484833,-3.87244017636072,-23.876512050628662
2,165,0.15538149832087655,-30.083641409873962,-1.4605887519816263,-74.73919987678528
2,16,-2.2303410982762535,-70.3558623790741,-1.561060315572281,-54.88806366920471
2,30,-1.1015491700141435,-88.95108103752136,-2.8904389152260297,-87.50338554382324
2,35,-0.043797835866371315,-75.90417265892029,-22.12312466391966,-126.4856219291687
2,53,-2.6636692772109907,-74.93113875389099,-3.1040627502777784,-83.5403323173523
2,75,-3.055404057603824,-64.32833671569824,-1.092542150081527,-57.47564435005188
2,86,-1.743032124161982,-4.940696805715561,-5.835541374358251,-100.66566467285156
2,91,-0.9966180403499281,-65.18973112106323,-1.1672852905880902,-64.47958946228027
2,92,-4.666430994814488,-79.61587309837341,-0.9401304103087631,-28.725486993789673
3,146,-0.4796329465153788,-91.53391122817993,-14.793857516247428,-109.07196998596191
3,149,-0.06514713923536375,-14.735789597034454,-0.9740753160870907,-78.80625128746033
3,160,-2.029488967220065,-64.03535008430481,-10.356434163643307,-63.838034868240356
3,164,-0.812603913923184,-57.9841673374176,-1.8724910438392204,-89.51467871665955
3,194,-1.1273283618461147,-84.87435579299927,-5.2768321476089195,-87.7021074295044
3,201,-0.5360794504045312,-65.80487489700317,-1.3202609922071749,-94.34313774108887
3,202,-1.3754001280552655,-90.53800702095032,-0.9673559990032672,-98.84953498840332
3,36,-2.3099198428131156,-86.27911806106567,-1.3556622563314993,-75.97031593322754
3,38,-0.423626082437939,-51.69090032577515,-13.622847262968627,-91.51020646095276
3,65,0.4503803808096247,-13.920661807060242,-2.670804352064338,-78.85244488716125
3,89,-1.7453099583604264,-91.55552983283997,-2.012366940729685,-90.42919874191284
3,97,-4.138904161695392,-95.11418342590332,-1.8748232227007477,-76.65026783943176
4,10,-0.11040627044376228,-4.602091014385223,-2.235653849256738,-105.13522624969482
4,115,-0.07462793963563219,-49.43787157535553,-0.3177962665675256,-73.55863451957703
4,185,-5.107500092342786,4.598155245184898,-28.55496701756449,105.82693815231323
4,190,-0.9869497002738365,-69.81610059738159,-0.37732310012860926,-26.72628164291382
4,24,-0.7808694814826997,-68.84499788284302,-3.495295630695419,-92.52756834030151
4,48,-5.176094539950802,-70.19125819206238,-6.715717514753765,-147.1912145614624
4,54,-1.9341224309186038,-63.18210959434509,-0.021949538379580247,-18.622490763664246
4,57,-0.2493884871665819,-16.579797863960266,-7.200293358603757,-113.08071613311768
4,58,-4.700363204483233,-93.99139881134033,-63.638058796186115,-83.90387296676636
4,6,-1.2237773724835148,5.43571263551712,-0.7699973458642764,-61.04200482368469
4,79,-2.4983595646274774,-27.665647864341736,-12.932853413332559,-89.58942294120789
4,81,-1.7689859919184552,-77.07560062408447,-11.726392104702692,-71.45190834999084
5,143,-6.460822005259874,-74.97036457061768,-4.644020985513665,-81.41889572143555
5,147,-1.3699292281870936,-82.63505101203918,-6.249541540106084,-68.70148181915283
5,15,-3.6626967812377345,-96.33309841156006,-5.901182869622851,-71.10061049461365
5,166,-3.875687008905768,-68.88672113418579,-7.598049332160388,-72.5767195224762
5,170,-0.12053353813668077,-40.397462248802185,-1.8771388413925982,-73.41248989105225
5,18,-2.1584224838666044,-51.74840688705444,-0.5614756682209694,-24.191924929618835
5,23,-0.8217548423784251,-72.61165380477905,-3.130689745404034,-98.61372709274292
5,56,-0.6375903338465554,-81.65615797042847,-5.385439802893363,-74.4115948677063
5,66,-1.4946702985468385,-81.03474378585815,-0.6739105008613937,-76.21886134147644
5,87,-1.1431595174343632,-73.20830225944519,-0.24263101405473542,-74.69122409820557
5,99,0.35545889175169487,-11.879032105207443,-0.9945036884124354,-64.16792869567871
