Fold,AOI,R2_Erosion,Err_Erosion_%,R2_Deposition,Err_Deposition_%
1,104,-34.639456115900494,-88.86019587516785,-19.652093373941756,-56.21535778045654
1,130,-2.076472422094798,-104.37479019165039,-1.0193379166333991,-95.49190402030945
1,136,-5.245744245910648,-47.47929573059082,-4.057486803199784,-72.02029228210449
1,150,-0.23750696734094134,-84.12546515464783,-1.7384824355457673,-84.32912826538086
1,157,-0.8378185890618541,-59.585535526275635,-1.032231412411341,-83.32228064537048
1,195,-1.521836673393992,-69.81170773506165,-0.176830582221295,-65.76272249221802
1,40,-0.3505751944624791,-63.26557397842407,-10.684956463417393,-58.662426471710205
1,78,-1.2965562801387662,-64.37515616416931,-1.5315042950992366,-84.60275530815125
1,80,-2.094934259180908,-91.31103754043579,-3.459263136917044,-85.29043793678284
1,85,-0.1969736873084882,-52.0091712474823,-1.2750350392648966,-72.8581190109253
1,8,-1.1912139197983769,-82.38794207572937,-1.948342868353699,-80.88135123252869
1,98,-0.8265652076992034,-78.97340655326843,-6.9488617373064665,-97.98007011413574
